2019-09-01 12:57:34,b'RT @Ronald_vanLoon: Would you swallow a #nanobot instead of popping a pill\n by @wef |\n\n #HealthTech #Healthcare #IoT #InternetOfThings #ML\xe2\x80\xa6'
2019-09-01 12:57:29,b'RT @marcusborba: Researchers at the Samsung AI Center have produced a system that can recreate realistic motion from just a single image of\xe2\x80\xa6'
2019-09-01 12:57:28,"b'RT @cyber_spanish: ht @MikeQuindazzi\ncopy @Antgrasso @Fisher85m\n\nHumans outperform #AI, offering the best #EQ and #CX &gt;&gt;&gt; @Invoca via @Mike\xe2\x80\xa6'"
2019-09-01 12:57:19,"b'Assessing the performance of ML software was hard, now tech companies have released MLPerf, a consistent way to mea\xe2\x80\xa6 https://t.co/Kb4oiIDnnw'"
2019-09-01 12:57:15,b'RT @Fisheyebox: Is It  AA (Advance Automation) or AI (Artificial Intelligence) ?\n\n#machinelearning #analytics #datascience #artificialintel\xe2\x80\xa6'
2019-09-01 12:56:58,b'RT @Paula_Piccard: These #robots nailed the bottle-flip challenge.\n#AI #Robotics #ArtificialIntelligence #MachineLearning #Tech @gigadgets_\xe2\x80\xa6'
2019-09-01 12:56:58,b'RT @gp_pulipaka: Must-Read #Statistics #Books to Become a Successful Data Analyst. #BigData #Analytics #DataScience #AI #MachineLearning #I\xe2\x80\xa6'
2019-09-01 12:56:31,b'RT @Fisheyebox: Is It  AA (Advance Automation) or AI (Artificial Intelligence) ?\n\n#machinelearning #analytics #datascience #artificialintel\xe2\x80\xa6'
2019-09-01 12:56:26,b'RT @marcusborba: Researchers at the Samsung AI Center have produced a system that can recreate realistic motion from just a single image of\xe2\x80\xa6'
2019-09-01 12:56:23,b'RT @gp_pulipaka: Must-Read #Statistics #Books to Become a Successful Data Analyst. #BigData #Analytics #DataScience #AI #MachineLearning #I\xe2\x80\xa6'
2019-09-01 12:56:21,b'RT @_Peculium: AIEVE\xe2\x80\x99s Thoughts of the Day : #EOS /#USDT pair!!\n\nIn-Depth \xe2\x96\xb6\xef\xb8\x8f https://t.co/rFSEwbLL0l\n\n#Peculium #Pcl #crypto #Blockchain #C\xe2\x80\xa6'
2019-09-01 12:55:55,b'RT @marcusborba: Researchers at the Samsung AI Center have produced a system that can recreate realistic motion from just a single image of\xe2\x80\xa6'
2019-09-01 12:55:39,b'RT MikeQuindazzi: #AI and #MachineLearning are most disruptive in 2019 &gt;&gt;&gt; idgenterprise and CIOMagazine via MikeQu\xe2\x80\xa6 https://t.co/XocI8aiHLz'
2019-09-01 12:55:39,"b""RT @Ronald_vanLoon: #MachineLearning Is Not Magic: It's All About Math, Stats, Data, and Programming\n by @janakiramm @thenewstack |\n\nRead f\xe2\x80\xa6"""
2019-09-01 12:55:38,b'RT @marcusborba: Researchers at the Samsung AI Center have produced a system that can recreate realistic motion from just a single image of\xe2\x80\xa6'
2019-09-01 12:55:19,b'How energy management and monitoring work in a smart home \nhttps://t.co/52r9jQWJhi\n\n#SmartHouse #energy\xe2\x80\xa6 https://t.co/GT6D9iVN19'
2019-09-01 12:55:18,b'RT @IanYorston: #Particles #Physics \xe2\x81\xa6@Fermilab\xe2\x81\xa9\n\n#MachineLearning technology co-developed by @MIT scientists speeds processing by up to 175\xe2\x80\xa6'
2019-09-01 12:55:04,b'RT @SpirosMargaris: Why #AI is Struggling \n\nto Detect #HateSpeech  \n\nhttps://t.co/PHpuO47z0K #fintech #insurtech #ArtificialIntelligence #M\xe2\x80\xa6'
2019-09-01 12:54:50,b'Machine learning overtakes humans in predicting death or heart attack\n#AI #ArtificialIntelligence #ML\xe2\x80\xa6 https://t.co/M0uWuVsHWa'
2019-09-01 12:54:35,"b""RT @BigramPoetry: A Bigram Poem inspired by Ronald_vanLoon:\n #MachineLearning Is \n Is Not \n Not Magic \n Magic It's \n It's All \n All About\xe2\x80\xa6"""
2019-09-01 12:54:14,b'RT @SpirosMargaris: Why #AI is Struggling \n\nto Detect #HateSpeech  \n\nhttps://t.co/PHpuO47z0K #fintech #insurtech #ArtificialIntelligence #M\xe2\x80\xa6'
2019-09-01 12:53:31,b'RT @AIBizDir: #ArtificialIntelligence (#AI) Business Directory https://t.co/cVozfg4nxy #Startup #MachineLearning #IoT #CyberSecurity https:\xe2\x80\xa6'
2019-09-01 12:53:28,"b""RT @frankgreco: What is the truth about #AIOps? Attend @cpswan\xe2\x80\x99s \xe2\x80\x9cAI + Ops = AIOps; // It's not really that simple\xe2\x80\x9d session #MachineLearnin\xe2\x80\xa6"""
